condition,perceived_accuracy,understanding,teaming,frustration,trust,recommend
_feature_explain,5,5,5,7,2,1
_feature_explain,6,6,6,3,5,6
_feature_explain,6,6,6,2,6,5
_feature_explain,7,7,4,1,7,6
_feature_explain,7,7,5,4,4,5
_feature_explain,5,5,6,3,5,4
_feature_explain,5,5,3,2,6,7
_feature_explain,6,4,1,1,6,4
_feature_explain,7,6,6,1,7,7
_feature_explain,3,3,2,7,1,2
_feature_explain,6,5,5,3,5,2
_feature_explain,5,5,6,5,3,3
_feature_explain,5,4,3,5,3,2
_explain,6,5,5,2,6,6
_explain,6,5,6,2,5,6
_explain,6,5,2,3,4,5
_explain,7,6,7,1,7,7
_explain,6,5,7,1,7,7
_explain,6,6,6,2,5,6
_explain,5,2,3,5,5,5
_explain,5,5,4,4,5,4
_explain,5,5,1,6,2,2
_explain,4,3,2,6,2,1
_explain,6,1,1,7,1,1
_explain,5,3,2,6,2,2
_explain,5,3,3,6,3,2
_explain,6,5,4,3,6,6
_explain,6,6,6,3,5,5
_explain,5,5,5,3,3,5
_explain,7,6,7,1,7,6
_explain,6,6,5,2,6,5
_explain,7,6,7,4,4,4
_explain,7,6,6,2,6,6
_explain,4,4,4,4,4,4
_explain,5,5,5,4,3,5
_explain,6,5,7,1,6,6
_explain,2,5,1,7,1,1
_explain,5,6,6,5,3,3
_explain,7,6,6,1,6,6
_explain,5,5,5,4,3,3
_explain,6,6,6,2,6,6
_explain,6,3,5,5,2,2
_explain,5,6,6,5,3,3
_instance,6,6,5,2,4,2
_instance,6,2,4,4,3,5
_instance,5,5,6,5,4,5
_instance,6,6,5,2,6,6
_instance,6,5,6,1,6,6
_instance,6,6,4,2,6,6
_instance,6,5,4,3,6,5
_instance,6,6,7,2,6,6
_instance,6,4,3,2,6,5
_instance,6,5,7,5,5,3
_instance,7,5,4,2,6,3
_instance,6,6,6,2,6,6
_instance,6,6,6,6,5,6
_instance,7,7,7,1,7,7
_instance,6,2,2,2,6,6
_instance,6,6,1,2,6,6
_instance,6,6,5,3,5,6
_instance,6,3,3,2,5,6
_instance,7,6,7,2,6,6
_instance,6,6,5,4,3,4
_instance,5,5,5,4,5,5
_instance,5,4,2,5,3,4
_instance,6,6,7,2,6,5
_instance,6,6,7,2,6,6
_instance,6,5,5,2,6,6
_instance,6,6,6,1,6,6
_instance,6,5,6,2,6,6
_instance,6,5,5,2,6,6
_instance,6,4,5,2,5,5
_instance,5,6,6,6,3,2
